Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
59,6.6,2.9,4.6,1.3,Iris-versicolor
98,6.2,2.9,4.3,1.3,Iris-versicolor
130,7.2,3.0,5.8,1.6,Iris-virginica
115,5.8,2.8,5.1,2.4,Iris-virginica
147,6.3,2.5,5.0,1.9,Iris-virginica
48,4.6,3.2,1.4,0.2,Iris-setosa
125,6.7,3.3,5.7,2.1,Iris-virginica
121,6.9,3.2,5.7,2.3,Iris-virginica
119,7.7,2.6,6.9,2.3,Iris-virginica
142,6.9,3.1,5.1,2.3,Iris-virginica
27,5.0,3.4,1.6,0.4,Iris-setosa
44,5.0,3.5,1.6,0.6,Iris-setosa
60,5.2,2.7,3.9,1.4,Iris-versicolor
42,4.5,2.3,1.3,0.3,Iris-setosa
57,6.3,3.3,4.7,1.6,Iris-versicolor
33,5.2,4.1,1.5,0.1,Iris-setosa
53,6.9,3.1,4.9,1.5,Iris-versicolor
71,5.9,3.2,4.8,1.8,Iris-versicolor
122,5.6,2.8,4.9,2.0,Iris-virginica
145,6.7,3.3,5.7,2.5,Iris-virginica
69,6.2,2.2,4.5,1.5,Iris-versicolor
110,7.2,3.6,6.1,2.5,Iris-virginica
82,5.5,2.4,3.7,1.0,Iris-versicolor
79,6.0,2.9,4.5,1.5,Iris-versicolor
52,6.4,3.2,4.5,1.5,Iris-versicolor
15,5.8,4.0,1.2,0.2,Iris-setosa
49,5.3,3.7,1.5,0.2,Iris-setosa
64,6.1,2.9,4.7,1.4,Iris-versicolor
21,5.4,3.4,1.7,0.2,Iris-setosa
138,6.4,3.1,5.5,1.8,Iris-virginica
30,4.7,3.2,1.6,0.2,Iris-setosa
4,4.6,3.1,1.5,0.2,Iris-setosa
107,4.9,2.5,4.5,1.7,Iris-virginica
99,5.1,2.5,3.0,1.1,Iris-versicolor
141,6.7,3.1,5.6,2.4,Iris-virginica
38,4.9,3.1,1.5,0.1,Iris-setosa
140,6.9,3.1,5.4,2.1,Iris-virginica
46,4.8,3.0,1.4,0.3,Iris-setosa
83,5.8,2.7,3.9,1.2,Iris-versicolor
84,6.0,2.7,5.1,1.6,Iris-versicolor
43,4.4,3.2,1.3,0.2,Iris-setosa
144,6.8,3.2,5.9,2.3,Iris-virginica
132,7.9,3.8,6.4,2.0,Iris-virginica
